"","Order","ID","FID_1","FirstID","SecondID","ThirdID","FourthID","FifthID","SixithID","SeventhID","CU_n","East","North","Unit","Site","Subsite","Area_m2","Area_ha","Time","PreXM_taq","NewPoly","Pct_XM_Ceramics","CerAbund","Wrong.a","Notes.a","Func1","Func1_d","Func2","Func2_d","Arch1","Arch1_d","Arch2","Arch2_d","H2020_1","H2020_2","H2020_3","H2020_Wkshp","Ang_Func","Ang_Func_d","Ang_Pop_calc","Ang_Area_m2","Ang_HH1","Ang_perHHArea","Ang_Incl","AnnieNew","Small","SmallGroup","Flag_AptCompClass","ReclassAng","ReclassAng_notes","ReclassH2020","ReclassH2020_notes","ClassBy","XM_c","XM_f","XM_d","XM_group_c","XM_group_f","XM_group_d","XM_macro_c","XM_macro_f","XM_macro_d","XM_DwellingUnits","XM_Pop","Unoccu","Flag","Flag_notes","Flag_code","AnnieRev","AnnieRev_Notes","Ring","StatusDiff","Workshop","Include","DELETE","DELETE_notes","OffMap","NoColUnit","Notes","XM_PersonsPerDwellingUnit"
"11",10,3047,3047,584,NA,NA,NA,NA,NA,NA,1,514586.0992,2177639.03,"N3W4","4","NONE",159.917,0.0159917,"Micca",1,0,0,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"12",11,3048,3048,587,NA,NA,NA,NA,NA,NA,1,514488.1728,2177691.758,"N3W4","7","NONE",208.852,0.0208852,"Micca",1,0,0.019736842,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"13",12,3057,3057,131,NA,NA,NA,NA,NA,NA,1,512926.3593,2177436.174,"N1W7","22","NONE",103.384,0.0103384,"Tza",1,0,0,1,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"14",13,3058,3058,133,NA,NA,NA,NA,NA,NA,1,512948.67,2177372.371,"N1W7","L 1","NONE",124.138,0.0124138,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"15",14,3059,3059,120,NA,NA,NA,NA,NA,NA,1,513079.8375,2177332.261,"N1W7","13","NONE",87.825,0.0087825,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"16",15,3060,3060,123,NA,NA,NA,NA,NA,NA,1,512891.6066,2177249.267,"N1W7","16","NONE",86.199,0.0086199,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"17",16,3061,3061,124,NA,NA,NA,NA,NA,NA,1,512941.7876,2177207.465,"N1W7","17","NONE",104.799,0.0104799,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"18",17,3062,3062,132,NA,NA,NA,NA,NA,NA,1,512916.764,2176940.94,"N1W7","25","&L5",97.668,0.0097668,"Tza",1,0,0.00952381,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"19",18,3063,3063,132,NA,NA,NA,NA,NA,NA,1,512917.8493,2176980.923,"N1W7","25","&L5",99.412,0.0099412,"Tza",1,0,0.00952381,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"20",19,3064,3064,130,NA,NA,NA,NA,NA,NA,1,512954.5542,2176960.474,"N1W7","21","NONE",119.987,0.0119987,"Tlam",1,0,0.2,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"21",20,3066,3066,116,NA,NA,NA,NA,NA,NA,1,513050.8398,2176930.01,"N1W7","9","NONE",125.142,0.0125142,"Tlam",1,0,0.133704735,5,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"22",21,3070,3070,134,NA,NA,NA,NA,NA,NA,1,513055.8418,2177058.929,"N1W7","L 2","NONE",93.139,0.0093139,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"23",22,3079,3079,129,NA,NA,NA,NA,NA,NA,1,513182.4697,2177336.633,"N1W7","24","&L6",71.626,0.0071626,"Tza",1,0,0.048387097,2,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"24",23,3080,3080,121,NA,NA,NA,NA,NA,NA,1,513024.0005,2177258.507,"N1W7","14","NONE",46.516,0.0046516,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"25",24,3081,3081,121,NA,NA,NA,NA,NA,NA,1,513003.9641,2177288.365,"N1W7","14","NONE",51.957,0.0051957,"Tza",1,0,NA,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"26",25,3082,3082,122,NA,NA,NA,NA,NA,NA,1,512931.7531,2177305.165,"N1W7","15","NONE",122.27,0.012227,"Tlam",1,0,0.018181818,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"27",26,3127,3127,3819,NA,NA,NA,NA,NA,NA,1,518277.6994,2176150.323,"N2E6","5","NONE",57.825,0.0057825,"Tlam",1,0,0.056179775,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",6,0,0,1,0,NA,0,0,"",0
"28",27,3128,3128,3819,NA,NA,NA,NA,NA,NA,1,518318.064,2176127.767,"N2E6","5","NONE",63.975,0.0063975,"Tlam",1,0,0.056179775,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",6,0,0,1,0,NA,0,0,"",0
"29",28,3129,3129,3819,NA,NA,NA,NA,NA,NA,1,518280.024,2176096.755,"N2E6","5","NONE",56.246,0.0056246,"Tlam",1,0,0.056179775,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",6,0,0,1,0,NA,0,0,"",0
"30",29,3130,3130,3817,NA,NA,NA,NA,NA,NA,1,518360.6013,2176084.173,"N2E6","3","NONE",97.616,0.0097616,"Tlam",1,0,0.076923077,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",6,0,0,1,0,NA,0,0,"",0
"31",30,3132,3132,3814,3815,3816,NA,NA,NA,NA,3,518508.636,2176060.437,"N2E6","2","SW",56.245,0.0056245,"Tlam",1,0,0,3,"","",-1,"missing data",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",-1,"primary interpretation is the best assessment of a very ambiguous situation","Open Space","Unoccupied","Probably Not Occupied or Utilized in this Period","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",6,0,0,1,0,NA,0,0,"",0
"32",31,3133,3133,3814,3815,3816,NA,NA,NA,NA,3,518543.1971,2175990.02,"N2E6","2","SW",50.449,0.0050449,"",0,0,0,3,"","",-1,"missing data",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",-1,"primary interpretation is the best assessment of a very ambiguous situation","Open Space","Unoccupied","Probably Not Occupied or Utilized in this Period","",1,"low status residential",5.5,NA,1,NA,1,0,NA,"",0,1,"Angela attributed to wrong collection unit (3815; should be 3814)",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",7,0,0,1,0,NA,0,0,"",0
"33",32,3134,3134,3851,NA,NA,NA,NA,NA,NA,1,518815.1566,2175928.201,"N2E7","3","NONE",53.556,0.0053556,"",0,0,0.220779221,5,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"34",33,3135,3135,3853,NA,NA,NA,NA,NA,NA,1,518968.3743,2175947.291,"N2E7","5","NONE",62.1,0.00621,"Tlam",1,0,0.388888889,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"35",34,3136,3136,3852,NA,NA,NA,NA,NA,NA,1,518896.1818,2175881.465,"N2E7","4","NONE",52.895,0.0052895,"Tlam",1,0,0.345588235,5,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"36",35,3137,3137,3852,NA,NA,NA,NA,NA,NA,1,518911.7629,2175856.284,"N2E7","4","NONE",56.174,0.0056174,"Tlam",1,0,0.345588235,5,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",7,0,0,1,0,NA,0,0,"",0
"37",36,3138,3138,2234,NA,NA,NA,NA,NA,NA,1,515840.5144,2176765.911,"N2W1","95","NONE",80.033,0.0080033,"",0,0,0,1,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",2,0,0,1,0,NA,0,0,"",0
"38",37,3157,3157,621,NA,NA,NA,NA,NA,NA,1,514423.0605,2177349.429,"N2W4","21","NONE",110.555,0.0110555,"Tlam",1,0,0.117021277,2,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"39",38,3175,3175,630,NA,NA,NA,NA,NA,NA,1,514314.1057,2177342.851,"N2W4","30","NONE",146.594,0.0146594,"Tlam",1,0,0.080645161,2,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
